"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
